text,aspect,label,text_en
"Le concert était incroyable, le son était propre et le public à fond, mais c'était interminable et il faisait trop chaud.",ambiance,positive,"Das Konzert war unglaublich, der Sound war sauber und das Publikum laut, aber es war endlos und es war zu heiß."
"Le concert était incroyable, le son était propre et le public à fond, mais c'était interminable et il faisait trop chaud.",durée,negative,"Das Konzert war unglaublich, der Sound war sauber und das Publikum laut, aber es war endlos und es war zu heiß."
"Le resto est hyper sympa, la déco est stylée et le personnel adorable, par contre les portions sont minuscules et l’addition fait mal.",service,positive,"Das Restaurant ist super schön, die Einrichtung ist stilvoll und das Personal bezaubernd, allerdings sind die Portionen winzig und die Rechnung ist teuer."
"Le resto est hyper sympa, la déco est stylée et le personnel adorable, par contre les portions sont minuscules et l’addition fait mal.",prix,negative,"Das Restaurant ist super schön, die Einrichtung ist stilvoll und das Personal bezaubernd, allerdings sind die Portionen winzig und die Rechnung ist teuer."
"J’ai adoré le cours, le prof explique bien et les exemples sont clairs, mais c’est beaucoup trop dense.",pédagogie,positive,"Der Kurs hat mir gut gefallen, der Lehrer erklärt gut und die Beispiele sind klar, aber er ist viel zu dicht."
"J’ai adoré le cours, le prof explique bien et les exemples sont clairs, mais c’est beaucoup trop dense.",charge,negative,"Der Kurs hat mir gut gefallen, der Lehrer erklärt gut und die Beispiele sind klar, aber er ist viel zu dicht."
"Le voyage était génial, paysages magnifiques et gens accueillants, mais les transports étaient une galère.",paysages,positive,"Die Reise war großartig, wunderschöne Landschaften und freundliche Menschen, aber der Transport war mühsam."
"Le voyage était génial, paysages magnifiques et gens accueillants, mais les transports étaient une galère.",transports,negative,"Die Reise war großartig, wunderschöne Landschaften und freundliche Menschen, aber der Transport war mühsam."
"La soirée était cool, bonne musique et ambiance détendue, sauf que c’était mal organisé.",musique,positive,"Der Abend war cool, gute Musik und entspannte Atmosphäre, nur dass er schlecht organisiert war."
"La soirée était cool, bonne musique et ambiance détendue, sauf que c’était mal organisé.",organisation,negative,"Der Abend war cool, gute Musik und entspannte Atmosphäre, nur dass er schlecht organisiert war."
"Le projet est intéressant et le sujet pertinent, mais les consignes sont floues.",contenu,positive,"Das Projekt ist interessant und das Thema relevant, aber die Anweisungen sind vage."
"Le projet est intéressant et le sujet pertinent, mais les consignes sont floues.",consignes,negative,"Das Projekt ist interessant und das Thema relevant, aber die Anweisungen sind vage."
"J’aime bien l’appli, l’interface est propre et intuitive, mais elle bug tout le temps.",interface,positive,"Ich mag die App, die Benutzeroberfläche ist sauber und intuitiv, aber es gibt ständig Störungen."
"J’aime bien l’appli, l’interface est propre et intuitive, mais elle bug tout le temps.",stabilité,negative,"Ich mag die App, die Benutzeroberfläche ist sauber und intuitiv, aber es gibt ständig Störungen."
"Le film est prenant, l’histoire est touchante, mais la fin est bâclée.",scénario,positive,"Der Film ist packend, die Geschichte rührend, aber das Ende ist verpatzt."
"Le film est prenant, l’histoire est touchante, mais la fin est bâclée.",fin,negative,"Der Film ist packend, die Geschichte rührend, aber das Ende ist verpatzt."
